                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.95589,                0.50426,                 0.9603,                0.98112,                0.95939,                0.99058,                0.70019,                 1.1182,                0.49212,                 1.0646,              0.0007096,              0.0007096,              0.0007096
                     91,                0.92694,                0.49098,                0.95583,                 0.9839,                0.94416,                0.98662,                0.69757,                 1.1154,                0.50465,                 1.0935,              0.0007063,              0.0007063,              0.0007063
                     92,                0.92264,                0.48604,                0.95032,                 0.9924,                0.95431,                0.98355,                0.68176,                 1.1419,                 0.5111,                  1.108,               0.000703,               0.000703,               0.000703
                     93,                0.93404,                0.48642,                 0.9563,                0.99463,                0.94416,                0.98612,                0.70019,                 1.1221,                0.51536,                 1.1006,              0.0006997,              0.0006997,              0.0006997
                     94,                0.93971,                0.48891,                0.95755,                0.97909,                0.95089,                 0.9768,                0.67516,                 1.1451,                0.52248,                 1.1169,              0.0006964,              0.0006964,              0.0006964
                     95,                0.90869,                 0.4661,                0.94373,                0.98437,                0.95904,                0.98271,                0.67891,                 1.1563,                0.51033,                 1.1117,              0.0006931,              0.0006931,              0.0006931
                     96,                0.91131,                0.47761,                0.94804,                0.97783,                0.95939,                 0.9879,                0.69742,                 1.0959,                 0.4916,                 1.0865,              0.0006898,              0.0006898,              0.0006898
                     97,                0.90577,                0.46843,                0.95718,                0.99917,                0.94924,                0.98917,                 0.6963,                 1.1193,                0.50028,                 1.0924,              0.0006865,              0.0006865,              0.0006865
                     98,                0.93334,                0.48769,                0.96045,                0.99177,                0.95431,                0.99111,                0.69018,                 1.1145,                0.48933,                 1.0991,              0.0006832,              0.0006832,              0.0006832
                     99,                0.91236,                0.47944,                0.95057,                0.97874,                0.95939,                0.98959,                0.69471,                 1.1056,                0.49158,                 1.0828,              0.0006799,              0.0006799,              0.0006799
                    100,                0.93567,                0.49548,                0.95215,                0.99782,                0.94924,                0.98557,                0.69953,                 1.0903,                0.51656,                   1.08,              0.0006766,              0.0006766,              0.0006766
                    101,                0.90451,                0.47918,                0.95143,                0.98103,                0.95431,                0.98934,                0.69649,                 1.1194,                0.49591,                 1.0977,              0.0006733,              0.0006733,              0.0006733
                    102,                0.91632,                0.47264,                0.95238,                 0.9842,                 0.9486,                0.98516,                 0.7024,                 1.1154,                0.51538,                 1.0981,                0.00067,                0.00067,                0.00067
                    103,                0.91105,                0.46932,                0.95177,                0.99374,                0.94416,                0.98434,                0.69715,                 1.1275,                0.50824,                 1.1106,              0.0006667,              0.0006667,              0.0006667
                    104,                0.89339,                0.46883,                0.94578,                0.98924,                0.95431,                0.98688,                0.69283,                 1.1245,                0.48526,                 1.1209,              0.0006634,              0.0006634,              0.0006634
                    105,                0.88955,                0.46773,                0.94043,                0.98877,                0.95431,                0.98203,                0.68253,                 1.1303,                0.50059,                 1.1052,              0.0006601,              0.0006601,              0.0006601
